Ville;PRIX_SNCF_1;PRIX_SNCF_2;PRIX_Aerien
Bordeaux;62.1991990328634;44.7056743048706;82.6090734606079
Brest;72.5657322050073;48.0747975858174;98.5979263884675
Clermont-Ferrand;44.9648376341742;30.0629461992173;89.4448873935334
Limoges;43.150694329049;28.7671295526993;98.0186201229654
Lyon;64.2725056672922;43.4098576583526;90.0241936590356
Marseille;72.902644533102;50.7700962105748;89.0973036342321
Metz/Nancy;39.3928260541468;26.3050779243152;125.825320867069
Montpellier;72.760104701985;50.6664308788533;92.6890024803455
Nantes;57.5342591053987;38.3561727369324;90.3717774183369
Nice;84.6816178499505;60.1777250642954;101.95790272838
Strasbourg;51.5735025314159;34.3391411327267;78.0904845896911
Toulon;77.658291625823;54.1521776579867;105.781324080694
Toulouse;80.2110504194635;56.7567691174879;87.3593848377256
